"","name","ref","loc"
"AuSSA_2018","AuSSA_2018","doi:10.26193/1U0HNI","data/AuSSA_2018.dta"
"AuSSA_2019","AuSSA_2019","doi:10.26193/IWGB1F","data/AuSSA_2019.dta"
"AuSSA_2020","AuSSA_2020","doi:10.26193/C86EZG","data/AuSSA_2020.dta"
